tier,member,commitment,basis,source
NATO Europe,France,1.0,"North Atlantic Treaty, Article 5",Treaty texts; NATO Hague Summit Declaration 2025; CRS reports in the evidence base
NATO Europe,Germany,1.0,"North Atlantic Treaty, Article 5",Treaty texts; NATO Hague Summit Declaration 2025; CRS reports in the evidence base
NATO Europe,United Kingdom,1.0,"North Atlantic Treaty, Article 5",Treaty texts; NATO Hague Summit Declaration 2025; CRS reports in the evidence base
NATO Europe,Poland,1.0,"North Atlantic Treaty, Article 5",Treaty texts; NATO Hague Summit Declaration 2025; CRS reports in the evidence base
NATO Europe,Italy,1.0,"North Atlantic Treaty, Article 5",Treaty texts; NATO Hague Summit Declaration 2025; CRS reports in the evidence base
NATO Europe,Spain,1.0,"North Atlantic Treaty, Article 5",Treaty texts; NATO Hague Summit Declaration 2025; CRS reports in the evidence base
NATO Europe,Netherlands,1.0,"North Atlantic Treaty, Article 5",Treaty texts; NATO Hague Summit Declaration 2025; CRS reports in the evidence base
NATO Europe,Norway,1.0,"North Atlantic Treaty, Article 5",Treaty texts; NATO Hague Summit Declaration 2025; CRS reports in the evidence base
NATO Europe,Denmark,1.0,"North Atlantic Treaty, Article 5",Treaty texts; NATO Hague Summit Declaration 2025; CRS reports in the evidence base
NATO Europe,Sweden,1.0,"North Atlantic Treaty, Article 5",Treaty texts; NATO Hague Summit Declaration 2025; CRS reports in the evidence base
NATO Europe,Finland,1.0,"North Atlantic Treaty, Article 5",Treaty texts; NATO Hague Summit Declaration 2025; CRS reports in the evidence base
NATO Europe,Turkiye,1.0,"North Atlantic Treaty, Article 5",Treaty texts; NATO Hague Summit Declaration 2025; CRS reports in the evidence base
Indo-Pacific allies,Japan,1.0,Bilateral mutual defense treaty with the United States,Treaty texts; NATO Hague Summit Declaration 2025; CRS reports in the evidence base
Indo-Pacific allies,South Korea,1.0,Bilateral mutual defense treaty with the United States,Treaty texts; NATO Hague Summit Declaration 2025; CRS reports in the evidence base
Indo-Pacific allies,Australia,1.0,Bilateral mutual defense treaty with the United States,Treaty texts; NATO Hague Summit Declaration 2025; CRS reports in the evidence base
Indo-Pacific allies,Philippines,1.0,Bilateral mutual defense treaty with the United States,Treaty texts; NATO Hague Summit Declaration 2025; CRS reports in the evidence base
Indo-Pacific allies,Thailand,1.0,Bilateral mutual defense treaty with the United States,Treaty texts; NATO Hague Summit Declaration 2025; CRS reports in the evidence base
Indo-Pacific allies,Taiwan,0.5,"Taiwan Relations Act, deliberate ambiguity",Treaty texts; NATO Hague Summit Declaration 2025; CRS reports in the evidence base
Indo-Pacific allies,New Zealand,0.6,"ANZUS, partially suspended",Treaty texts; NATO Hague Summit Declaration 2025; CRS reports in the evidence base
Hedging middle powers,India,0.2,No treaty obligation; active courtship by both blocs,Treaty texts; NATO Hague Summit Declaration 2025; CRS reports in the evidence base
Hedging middle powers,Indonesia,0.2,No treaty obligation; active courtship by both blocs,Treaty texts; NATO Hague Summit Declaration 2025; CRS reports in the evidence base
Hedging middle powers,Viet Nam,0.2,No treaty obligation; active courtship by both blocs,Treaty texts; NATO Hague Summit Declaration 2025; CRS reports in the evidence base
Hedging middle powers,Singapore,0.2,No treaty obligation; active courtship by both blocs,Treaty texts; NATO Hague Summit Declaration 2025; CRS reports in the evidence base
Hedging middle powers,Malaysia,0.2,No treaty obligation; active courtship by both blocs,Treaty texts; NATO Hague Summit Declaration 2025; CRS reports in the evidence base
Hedging middle powers,Saudi Arabia,0.2,No treaty obligation; active courtship by both blocs,Treaty texts; NATO Hague Summit Declaration 2025; CRS reports in the evidence base
Hedging middle powers,United Arab Emirates,0.2,No treaty obligation; active courtship by both blocs,Treaty texts; NATO Hague Summit Declaration 2025; CRS reports in the evidence base
Hedging middle powers,Brazil,0.2,No treaty obligation; active courtship by both blocs,Treaty texts; NATO Hague Summit Declaration 2025; CRS reports in the evidence base
Hedging middle powers,South Africa,0.2,No treaty obligation; active courtship by both blocs,Treaty texts; NATO Hague Summit Declaration 2025; CRS reports in the evidence base
