tier,window,us_share,supplier_hhi,n_suppliers,tiv_total,source
Indo-Pacific allies,1945,0.1134,0.7967,2,1720.1,"SIPRI Arms Transfers Database trade register, order-year windows"
Indo-Pacific allies,1950,0.7452,0.6138,2,8710.4,"SIPRI Arms Transfers Database trade register, order-year windows"
Indo-Pacific allies,1955,0.864,0.7621,2,9157.8,"SIPRI Arms Transfers Database trade register, order-year windows"
Indo-Pacific allies,1960,0.8728,0.769,3,18225.8,"SIPRI Arms Transfers Database trade register, order-year windows"
Indo-Pacific allies,1965,0.7842,0.6402,4,7709.9,"SIPRI Arms Transfers Database trade register, order-year windows"
Indo-Pacific allies,1970,0.9305,0.867,3,12491.1,"SIPRI Arms Transfers Database trade register, order-year windows"
Indo-Pacific allies,1975,0.9052,0.8211,5,32528.3,"SIPRI Arms Transfers Database trade register, order-year windows"
Indo-Pacific allies,1980,0.8458,0.7207,6,22202.5,"SIPRI Arms Transfers Database trade register, order-year windows"
Indo-Pacific allies,1985,0.6768,0.4873,6,25658.0,"SIPRI Arms Transfers Database trade register, order-year windows"
Indo-Pacific allies,1990,0.7486,0.5837,6,28418.8,"SIPRI Arms Transfers Database trade register, order-year windows"
Indo-Pacific allies,1995,0.6728,0.4692,9,10093.2,"SIPRI Arms Transfers Database trade register, order-year windows"
Indo-Pacific allies,2000,0.7407,0.5647,6,15279.7,"SIPRI Arms Transfers Database trade register, order-year windows"
Indo-Pacific allies,2005,0.6803,0.4914,6,19990.0,"SIPRI Arms Transfers Database trade register, order-year windows"
Indo-Pacific allies,2010,0.8173,0.6714,9,15340.3,"SIPRI Arms Transfers Database trade register, order-year windows"
Indo-Pacific allies,2015,0.757,0.5801,9,20400.2,"SIPRI Arms Transfers Database trade register, order-year windows"
Indo-Pacific allies,2020,0.8,0.6463,6,20318.2,"SIPRI Arms Transfers Database trade register, order-year windows"
Indo-Pacific allies,2025,0.3065,0.1879,10,2884.4,"SIPRI Arms Transfers Database trade register, order-year windows"
NATO Europe,1945,0.1473,0.4203,5,6659.7,"SIPRI Arms Transfers Database trade register, order-year windows"
NATO Europe,1950,0.5057,0.3704,3,48628.3,"SIPRI Arms Transfers Database trade register, order-year windows"
NATO Europe,1955,0.6463,0.4455,8,51490.3,"SIPRI Arms Transfers Database trade register, order-year windows"
NATO Europe,1960,0.4854,0.3416,8,49305.0,"SIPRI Arms Transfers Database trade register, order-year windows"
NATO Europe,1965,0.4835,0.3259,6,50647.7,"SIPRI Arms Transfers Database trade register, order-year windows"
NATO Europe,1970,0.4266,0.253,8,43107.8,"SIPRI Arms Transfers Database trade register, order-year windows"
NATO Europe,1975,0.5173,0.3447,7,43643.0,"SIPRI Arms Transfers Database trade register, order-year windows"
NATO Europe,1980,0.5725,0.3827,8,40675.5,"SIPRI Arms Transfers Database trade register, order-year windows"
NATO Europe,1985,0.4479,0.2567,9,25928.1,"SIPRI Arms Transfers Database trade register, order-year windows"
NATO Europe,1990,0.5856,0.3838,8,32776.0,"SIPRI Arms Transfers Database trade register, order-year windows"
NATO Europe,1995,0.4677,0.2654,13,21977.0,"SIPRI Arms Transfers Database trade register, order-year windows"
NATO Europe,2000,0.323,0.1648,12,34827.3,"SIPRI Arms Transfers Database trade register, order-year windows"
NATO Europe,2005,0.7183,0.526,7,36384.3,"SIPRI Arms Transfers Database trade register, order-year windows"
NATO Europe,2010,0.3719,0.2087,13,8949.0,"SIPRI Arms Transfers Database trade register, order-year windows"
NATO Europe,2015,0.6402,0.4263,11,23764.6,"SIPRI Arms Transfers Database trade register, order-year windows"
NATO Europe,2020,0.5448,0.327,10,63133.6,"SIPRI Arms Transfers Database trade register, order-year windows"
NATO Europe,2025,0.2627,0.1854,14,16858.3,"SIPRI Arms Transfers Database trade register, order-year windows"
