year,tiv_m,source
1950,8150.0,"SIPRI Arms Transfers Database (TIV, retrieved 2026-07-24)"
1951,11477.0,"SIPRI Arms Transfers Database (TIV, retrieved 2026-07-24)"
1952,16619.0,"SIPRI Arms Transfers Database (TIV, retrieved 2026-07-24)"
1953,23559.0,"SIPRI Arms Transfers Database (TIV, retrieved 2026-07-24)"
1954,20442.0,"SIPRI Arms Transfers Database (TIV, retrieved 2026-07-24)"
1955,20486.0,"SIPRI Arms Transfers Database (TIV, retrieved 2026-07-24)"
1956,24664.0,"SIPRI Arms Transfers Database (TIV, retrieved 2026-07-24)"
1957,23621.0,"SIPRI Arms Transfers Database (TIV, retrieved 2026-07-24)"
1958,25041.0,"SIPRI Arms Transfers Database (TIV, retrieved 2026-07-24)"
1959,21209.0,"SIPRI Arms Transfers Database (TIV, retrieved 2026-07-24)"
1960,17600.0,"SIPRI Arms Transfers Database (TIV, retrieved 2026-07-24)"
1961,16398.0,"SIPRI Arms Transfers Database (TIV, retrieved 2026-07-24)"
1962,17526.0,"SIPRI Arms Transfers Database (TIV, retrieved 2026-07-24)"
1963,20273.0,"SIPRI Arms Transfers Database (TIV, retrieved 2026-07-24)"
1964,26727.0,"SIPRI Arms Transfers Database (TIV, retrieved 2026-07-24)"
1965,25821.0,"SIPRI Arms Transfers Database (TIV, retrieved 2026-07-24)"
1966,25770.0,"SIPRI Arms Transfers Database (TIV, retrieved 2026-07-24)"
1967,25573.0,"SIPRI Arms Transfers Database (TIV, retrieved 2026-07-24)"
1968,26129.0,"SIPRI Arms Transfers Database (TIV, retrieved 2026-07-24)"
1969,28136.0,"SIPRI Arms Transfers Database (TIV, retrieved 2026-07-24)"
1970,25270.0,"SIPRI Arms Transfers Database (TIV, retrieved 2026-07-24)"
1971,32851.0,"SIPRI Arms Transfers Database (TIV, retrieved 2026-07-24)"
1972,34526.0,"SIPRI Arms Transfers Database (TIV, retrieved 2026-07-24)"
1973,36300.0,"SIPRI Arms Transfers Database (TIV, retrieved 2026-07-24)"
1974,36584.0,"SIPRI Arms Transfers Database (TIV, retrieved 2026-07-24)"
1975,37148.0,"SIPRI Arms Transfers Database (TIV, retrieved 2026-07-24)"
1976,35973.0,"SIPRI Arms Transfers Database (TIV, retrieved 2026-07-24)"
1977,39967.0,"SIPRI Arms Transfers Database (TIV, retrieved 2026-07-24)"
1978,42371.0,"SIPRI Arms Transfers Database (TIV, retrieved 2026-07-24)"
1979,38356.0,"SIPRI Arms Transfers Database (TIV, retrieved 2026-07-24)"
1980,42226.0,"SIPRI Arms Transfers Database (TIV, retrieved 2026-07-24)"
