quarter,ccy,flow_share_pct,source
1999-Q2,USD,52.98852128333712,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
1999-Q3,USD,17.17499162086623,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
1999-Q4,USD,39.436871025752524,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2000-Q1,USD,35.04307695393173,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2000-Q2,USD,32.8464990366483,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2000-Q3,USD,34.03971718582551,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2000-Q4,USD,21.602312424005422,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2001-Q1,USD,522.0172321629574,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2001-Q2,USD,111.90774928427302,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2001-Q3,USD,28.983374722594434,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2001-Q4,USD,36.42127714025472,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2002-Q1,USD,26.85326643791035,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2002-Q2,USD,15.722784975645537,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2002-Q3,USD,16.201990614401083,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2002-Q4,USD,11.924875732993328,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2003-Q1,USD,28.280446970922686,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2003-Q2,USD,32.596943231598296,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2003-Q3,USD,34.55595704852282,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2003-Q4,USD,21.577349296939573,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2004-Q1,USD,38.563831812000906,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2004-Q2,USD,39.26885510903425,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2004-Q3,USD,25.42820857660103,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2004-Q4,USD,25.387625561081613,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2005-Q1,USD,40.84450922653321,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2005-Q2,USD,41.24687818164009,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
