ccy,measure,quarter,value,date,source
CHF,claims_usd_m,1999-Q1,3571.27628978701,1999-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CHF,share_pct,1999-Q1,0.288142224166944,1999-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
EUR,claims_usd_m,1999-Q1,224608.50443104,1999-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
EUR,share_pct,1999-Q1,18.1221470370837,1999-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
GBP,claims_usd_m,1999-Q1,34014.7018887905,1999-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
GBP,share_pct,1999-Q1,2.74441713866842,1999-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
JPY,claims_usd_m,1999-Q1,74773.4976301907,1999-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
JPY,share_pct,1999-Q1,6.03296977540481,1999-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
OTHER,claims_usd_m,1999-Q1,20121.3334343273,1999-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
OTHER,share_pct,1999-Q1,1.62345483757504,1999-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
TOTAL,claims_usd_m,1999-Q1,1239414.42463423,1999-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
TOTAL,share_pct,1999-Q1,77.1780443178892,1999-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
USD,claims_usd_m,1999-Q1,882325.110960097,1999-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
USD,share_pct,1999-Q1,71.1888689871011,1999-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CHF,claims_usd_m,1999-Q2,3092.35676834092,1999-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CHF,share_pct,1999-Q2,0.242780802330429,1999-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
EUR,claims_usd_m,1999-Q2,223853.6556624,1999-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
EUR,share_pct,1999-Q2,17.5747412726491,1999-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
GBP,claims_usd_m,1999-Q2,35573.7423480157,1999-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
