hypothesis,role,series,scope,freq,period,value,unit,source
H1,test,pathway_separation,Indo-Pacific allies,endpoint,2035,0.36,sd units,"simulate_layer2.py, 10000 draws per pathway, seed 20260724"
H1,test,pathway_separation,NATO Europe,endpoint,2035,1.45,sd units,"simulate_layer2.py, 10000 draws per pathway, seed 20260724"
H1,test,pathway_separation,Hedging middle powers,endpoint,2035,1.09,sd units,"simulate_layer2.py, 10000 draws per pathway, seed 20260724"
H1,test,pathway_separation,Allied share of world,endpoint,2035,0.6,sd units,"simulate_layer2.py, 10000 draws per pathway, seed 20260724"
H1,test,pathway_separation_driver,United States,endpoint,2035,1.1,sd units,"simulate_layer2.py (context, not scored)"
H1,test,pathway_separation_driver,China,endpoint,2035,0.02,sd units,"simulate_layer2.py (context, not scored)"
H1,test,reserve_channel_separation,USD share,endpoint,2035,0.36,sd units,simulate.py layer 1
H1,test,median_over_reserve_ratio,scored outcomes,endpoint,2035,2.3,ratio,simulate_layer2.py
H1,input,simulated_endpoint,Indo-Pacific allies | accretion,endpoint,2035,218558.0,"USD m, constant 2024",layer2_summary.json
H1,input,simulated_endpoint,NATO Europe | accretion,endpoint,2035,658634.0,"USD m, constant 2024",layer2_summary.json
H1,input,simulated_endpoint,Hedging middle powers | accretion,endpoint,2035,323255.0,"USD m, constant 2024",layer2_summary.json
H1,input,simulated_endpoint,United States | accretion,endpoint,2035,939960.0,"USD m, constant 2024",layer2_summary.json
H1,input,simulated_endpoint,China | accretion,endpoint,2035,567784.0,"USD m, constant 2024",layer2_summary.json
H1,input,simulated_endpoint,Indo-Pacific allies | retrenchment,endpoint,2035,212839.0,"USD m, constant 2024",layer2_summary.json
H1,input,simulated_endpoint,NATO Europe | retrenchment,endpoint,2035,593000.0,"USD m, constant 2024",layer2_summary.json
H1,input,simulated_endpoint,Hedging middle powers | retrenchment,endpoint,2035,291269.0,"USD m, constant 2024",layer2_summary.json
H1,input,simulated_endpoint,United States | retrenchment,endpoint,2035,572304.0,"USD m, constant 2024",layer2_summary.json
H1,input,simulated_endpoint,China | retrenchment,endpoint,2035,566236.0,"USD m, constant 2024",layer2_summary.json
H1,input,simulated_endpoint,Indo-Pacific allies | demonstration,endpoint,2035,219114.0,"USD m, constant 2024",layer2_summary.json
H1,input,simulated_endpoint,NATO Europe | demonstration,endpoint,2035,772133.0,"USD m, constant 2024",layer2_summary.json
H1,input,simulated_endpoint,Hedging middle powers | demonstration,endpoint,2035,381152.0,"USD m, constant 2024",layer2_summary.json
H1,input,simulated_endpoint,United States | demonstration,endpoint,2035,941391.0,"USD m, constant 2024",layer2_summary.json
H1,input,simulated_endpoint,China | demonstration,endpoint,2035,567817.0,"USD m, constant 2024",layer2_summary.json
H1,input,allied_share_2035,accretion,endpoint,2035,25.81,% of world,layer2_summary.json
H1,input,allied_share_2035,retrenchment,endpoint,2035,27.52,% of world,layer2_summary.json
H1,input,allied_share_2035,demonstration,endpoint,2035,27.72,% of world,layer2_summary.json
H2,test,feedback_b_us,Indo-Pacific allies,annual,1951-2025,0.072,"pp per pp, lag 1","calibrate_layer2.py, HAC(3)"
H2,test,feedback_b_cn,Indo-Pacific allies,annual,1951-2025,-0.038,"pp per pp, lag 1","calibrate_layer2.py, HAC(3)"
H2,test,p_us_stronger,Indo-Pacific allies,annual,1951-2025,0.2917,one-sided p,delta method on |b_us| - |b_cn|
H2,test,feedback_b_us,NATO Europe,annual,1951-2025,0.266,"pp per pp, lag 1","calibrate_layer2.py, HAC(3)"
H2,test,feedback_b_cn,NATO Europe,annual,1951-2025,-0.162,"pp per pp, lag 1","calibrate_layer2.py, HAC(3)"
H2,test,p_us_stronger,NATO Europe,annual,1951-2025,0.2201,one-sided p,delta method on |b_us| - |b_cn|
H2,test,feedback_b_us,Hedging middle powers,annual,1951-2025,0.263,"pp per pp, lag 1","calibrate_layer2.py, HAC(3)"
H2,test,feedback_b_cn,Hedging middle powers,annual,1951-2025,0.144,"pp per pp, lag 1","calibrate_layer2.py, HAC(3)"
H2,test,p_us_stronger,Hedging middle powers,annual,1951-2025,0.3514,one-sided p,delta method on |b_us| - |b_cn|
H2,evidence,event_window_growth,United States | post vietnam,annual mean,1969-1975,-4.98,"% real, mean over window",SIPRI milex via calibrate_layer2.py
H2,evidence,event_window_growth,Indo-Pacific allies | post vietnam,annual mean,1969-1975,3.41,"% real, mean over window",SIPRI milex via calibrate_layer2.py
H2,evidence,event_window_growth,NATO Europe | post vietnam,annual mean,1969-1975,3.56,"% real, mean over window",SIPRI milex via calibrate_layer2.py
H2,evidence,event_window_growth,Hedging middle powers | post vietnam,annual mean,1969-1975,6.49,"% real, mean over window",SIPRI milex via calibrate_layer2.py
H2,evidence,event_window_growth,United States | peace dividend,annual mean,1989-1998,-3.83,"% real, mean over window",SIPRI milex via calibrate_layer2.py
H2,evidence,event_window_growth,Indo-Pacific allies | peace dividend,annual mean,1989-1998,1.84,"% real, mean over window",SIPRI milex via calibrate_layer2.py
H2,evidence,event_window_growth,NATO Europe | peace dividend,annual mean,1989-1998,-1.35,"% real, mean over window",SIPRI milex via calibrate_layer2.py
