series,economy,year,value,unit,source
container_throughput_teu,Americas,2010,84179473.0,TEU,"UNCTADstat maritime transport tables, retrieved 29 July 2026"
container_throughput_teu,Americas,2011,89668724.0,TEU,"UNCTADstat maritime transport tables, retrieved 29 July 2026"
container_throughput_teu,Americas,2012,93634957.0,TEU,"UNCTADstat maritime transport tables, retrieved 29 July 2026"
container_throughput_teu,Americas,2013,95141372.0,TEU,"UNCTADstat maritime transport tables, retrieved 29 July 2026"
container_throughput_teu,Americas,2014,97449183.0,TEU,"UNCTADstat maritime transport tables, retrieved 29 July 2026"
container_throughput_teu,Americas,2015,100589330.0,TEU,"UNCTADstat maritime transport tables, retrieved 29 July 2026"
container_throughput_teu,Americas,2016,99750000.0,TEU,"UNCTADstat maritime transport tables, retrieved 29 July 2026"
container_throughput_teu,Americas,2017,106839351.0,TEU,"UNCTADstat maritime transport tables, retrieved 29 July 2026"
container_throughput_teu,Americas,2018,113800429.0,TEU,"UNCTADstat maritime transport tables, retrieved 29 July 2026"
container_throughput_teu,Americas,2019,115741830.0,TEU,"UNCTADstat maritime transport tables, retrieved 29 July 2026"
container_throughput_teu,Americas,2020,112773416.0,TEU,"UNCTADstat maritime transport tables, retrieved 29 July 2026"
container_throughput_teu,Americas,2021,127793834.0,TEU,"UNCTADstat maritime transport tables, retrieved 29 July 2026"
container_throughput_teu,Americas,2022,127674455.0,TEU,"UNCTADstat maritime transport tables, retrieved 29 July 2026"
container_throughput_teu,Americas,2023,120291587.0,TEU,"UNCTADstat maritime transport tables, retrieved 29 July 2026"
container_throughput_teu,Americas,2024,131990232.0,TEU,"UNCTADstat maritime transport tables, retrieved 29 July 2026"
container_throughput_teu,Asia,2010,342459718.0,TEU,"UNCTADstat maritime transport tables, retrieved 29 July 2026"
container_throughput_teu,Asia,2011,372762324.0,TEU,"UNCTADstat maritime transport tables, retrieved 29 July 2026"
container_throughput_teu,Asia,2012,395389190.0,TEU,"UNCTADstat maritime transport tables, retrieved 29 July 2026"
container_throughput_teu,Asia,2013,410270787.0,TEU,"UNCTADstat maritime transport tables, retrieved 29 July 2026"
container_throughput_teu,Asia,2014,432434948.0,TEU,"UNCTADstat maritime transport tables, retrieved 29 July 2026"
container_throughput_teu,Asia,2015,440794942.0,TEU,"UNCTADstat maritime transport tables, retrieved 29 July 2026"
container_throughput_teu,Asia,2016,455848888.0,TEU,"UNCTADstat maritime transport tables, retrieved 29 July 2026"
container_throughput_teu,Asia,2017,485537815.0,TEU,"UNCTADstat maritime transport tables, retrieved 29 July 2026"
container_throughput_teu,Asia,2018,508257606.0,TEU,"UNCTADstat maritime transport tables, retrieved 29 July 2026"
container_throughput_teu,Asia,2019,521456151.0,TEU,"UNCTADstat maritime transport tables, retrieved 29 July 2026"
container_throughput_teu,Asia,2020,519279513.0,TEU,"UNCTADstat maritime transport tables, retrieved 29 July 2026"
container_throughput_teu,Asia,2021,551513299.0,TEU,"UNCTADstat maritime transport tables, retrieved 29 July 2026"
container_throughput_teu,Asia,2022,562445602.0,TEU,"UNCTADstat maritime transport tables, retrieved 29 July 2026"
container_throughput_teu,Asia,2023,577200591.0,TEU,"UNCTADstat maritime transport tables, retrieved 29 July 2026"
container_throughput_teu,Asia,2024,613209077.0,TEU,"UNCTADstat maritime transport tables, retrieved 29 July 2026"
