year,cn_us_ratio,us_real_growth,cn_real_growth,world_real_growth
1949,,,,
1950,,0.07470903378327143,,
1951,,1.1396209380349411,,
1952,,0.408659598759332,,
1953,,0.02958307773638502,,
1954,,-0.1371832400909988,,
1955,,-0.05341089258441811,,
1956,,0.013083966829340543,,
1957,,0.028533979357077133,,
1958,,-0.0059324132214788605,,
1959,,0.007004142847837347,,
1960,,-0.02461210421699489,,
1961,,0.04229791519045567,,
1962,,0.08355937429952087,,
1963,,-0.013618020120676144,,
1964,,-0.03334001000367992,,
1965,,0.0043797220872412446,,
1966,,0.182388220966623,,
1967,,0.14806984968226522,,
1968,,0.03211575530769761,,
1969,,-0.04392793000124162,,
1970,,-0.07325111200599177,,
1971,,-0.10027356030669388,,
1972,,-0.0014382381812531042,,
1973,,-0.04967467706362594,,
1974,,-0.013057872309136798,,
1975,,-0.05491812507548266,,
1976,,-0.027202340161548322,,
1977,,0.03773969213195749,,
1978,,0.006325929883745918,,
1979,,0.005739294678731799,,
1980,,-0.002307684237322638,,
1981,,0.1138625920529448,,
1982,,0.18266344424893566,,
1983,,-0.02346075096867206,,
1984,,0.051812778639594326,,
1985,,0.07201835094558562,,
1986,,0.06609905675533123,,
1987,,-0.008204957743094377,,
1988,,-0.020919073374279784,,
1989,0.024440681949899113,-0.00844810943971197,,-0.012058280069158211
1990,0.02772245195301637,-0.04159673698659683,0.0870927605443863,-0.03737664594128509
1991,0.033356821853353515,-0.11662983008082406,0.06290819580100138,
1992,0.038495191590090974,0.05379796679254856,0.21612768768164825,
1993,0.03740129633156847,-0.05351645177026043,-0.08041211907081192,-0.04228114068422739
1994,0.03796078583449674,-0.05198388101248885,-0.03780241889208025,-0.0232223942411931
1995,0.0422100445229635,-0.06590552401016236,0.03865524786779018,-0.05427199603294308
1996,0.047290231628440704,-0.05439447985591184,0.059413809725271216,-0.027526353791476388
1997,0.05071233127481059,-0.005173092349061048,0.06681633742620141,0.004597236923553849
1998,0.056650782618675524,-0.02258022639736046,0.09187634899880637,-0.013009951028582933
1999,0.06889245741125472,0.0024608410992361662,0.2190827312439052,0.01707065688637166
2000,0.07179028247756133,0.0386979171000581,0.08238869216596978,0.03474159113630715
2001,0.08443816907101118,0.008121650148791959,0.18573076190383686,0.020766548555429143
2002,0.08637356455705283,0.1228089511073136,0.1485446983359482,0.06648646386783708
2003,0.08212963705981018,0.13816514921277268,0.08224190003441079,0.07733369384875233
2004,0.08300015205109519,0.08992011591647109,0.10147248402833098,0.05458364763488688
2005,0.0871317188195814,0.04605890541592306,0.09812943907994498,0.04385473216046987
2006,0.09886959856852637,0.014409727610908751,0.15106512199733246,0.02695751723589579
2007,0.10585875735458278,0.02668384568083093,0.09926082105480227,0.039740788740144195
2008,0.10796716514867209,0.07274369358173716,0.09410972149600672,0.05714572862584388
2009,0.12145441888102129,0.07868952411065666,0.21343937412361091,0.06922930085314616
2010,0.12389469702411211,0.02858650338133084,0.04925299856203358,0.01819542524401485
2011,0.13459671853547647,-0.01184108400892514,0.07351606387226983,-0.0001325563385428108
2012,0.1571550546120466,-0.05554480343989521,0.1027453686020805,-0.00987867574843826
2013,0.18409300322827038,-0.07691884055733655,0.08130650512470217,-0.024035029007285935
2014,0.21181675413754303,-0.06151214196082677,0.07982078841346207,-0.006089097322485748
2015,0.23375339473521992,-0.022708573395989973,0.07850386785727381,0.01276092080698965
2016,0.24797041067071282,-0.0030685645355001956,0.05756537885876489,0.0004294239841002856
2017,0.2659612954816153,-0.010303451310896716,0.061501553798595454,0.010792473707038841
2018,0.2733142756661276,0.030097323695079448,0.05857622396338069,0.031114214982678412
2019,0.27121780780209054,0.05682374301434745,0.048717335071399415,0.04252558032085774
2020,0.2712338195853194,0.047073192641042594,0.04713500830543871,0.036674443995044825
2021,0.28131251142069297,-0.010718251324875805,0.026042156719002563,0.00816281907320815
2022,0.2971735361468921,-0.011552081841144868,0.044178809015081866,0.03212020644700386
2023,0.3098733870908058,0.022199560204736457,0.06588373954941895,0.06700444195196664
2024,0.3103791822287126,0.06560558292679786,0.06734493243283568,0.09737610994998991
2025,0.3605585404398616,-0.07536872265295114,0.07411747595762597,0.029337877199911988
