iso3,year,milex_constusd_m,source
CHN,1989,19905.957179233752,"SIPRI Milex Database 1949-2025 (v1.2, April 2026)"
CHN,1990,21639.621941251564,"SIPRI Milex Database 1949-2025 (v1.2, April 2026)"
CHN,1991,23000.93151539146,"SIPRI Milex Database 1949-2025 (v1.2, April 2026)"
CHN,1992,27972.069658336968,"SIPRI Milex Database 1949-2025 (v1.2, April 2026)"
CHN,1993,25722.77626231373,"SIPRI Milex Database 1949-2025 (v1.2, April 2026)"
CHN,1994,24750.39309897849,"SIPRI Milex Database 1949-2025 (v1.2, April 2026)"
CHN,1995,25707.125679044744,"SIPRI Milex Database 1949-2025 (v1.2, April 2026)"
CHN,1996,27234.48395272314,"SIPRI Milex Database 1949-2025 (v1.2, April 2026)"
CHN,1997,29054.19242213676,"SIPRI Milex Database 1949-2025 (v1.2, April 2026)"
CHN,1998,31723.585544991474,"SIPRI Milex Database 1949-2025 (v1.2, April 2026)"
CHN,1999,38673.67531103788,"SIPRI Milex Database 1949-2025 (v1.2, April 2026)"
CHN,2000,41859.94884116564,"SIPRI Milex Database 1949-2025 (v1.2, April 2026)"
CHN,2001,49634.62903269097,"SIPRI Milex Database 1949-2025 (v1.2, April 2026)"
CHN,2002,57007.59002936875,"SIPRI Milex Database 1949-2025 (v1.2, April 2026)"
CHN,2003,61696.002549766774,"SIPRI Milex Database 1949-2025 (v1.2, April 2026)"
CHN,2004,67956.44918310986,"SIPRI Milex Database 1949-2025 (v1.2, April 2026)"
CHN,2005,74624.9774233132,"SIPRI Milex Database 1949-2025 (v1.2, April 2026)"
CHN,2006,85898.20874181419,"SIPRI Milex Database 1949-2025 (v1.2, April 2026)"
CHN,2007,94424.53546866345,"SIPRI Milex Database 1949-2025 (v1.2, April 2026)"
CHN,2008,103310.80220400917,"SIPRI Milex Database 1949-2025 (v1.2, April 2026)"
CHN,2009,125361.39516664106,"SIPRI Milex Database 1949-2025 (v1.2, April 2026)"
CHN,2010,131535.81978251814,"SIPRI Milex Database 1949-2025 (v1.2, April 2026)"
CHN,2011,141205.81551114112,"SIPRI Milex Database 1949-2025 (v1.2, April 2026)"
CHN,2012,155714.05907459068,"SIPRI Milex Database 1949-2025 (v1.2, April 2026)"
CHN,2013,168374.62501672705,"SIPRI Milex Database 1949-2025 (v1.2, April 2026)"
CHN,2014,181814.42033438323,"SIPRI Milex Database 1949-2025 (v1.2, April 2026)"
CHN,2015,196087.55556286048,"SIPRI Milex Database 1949-2025 (v1.2, April 2026)"
CHN,2016,207375.40998832564,"SIPRI Milex Database 1949-2025 (v1.2, April 2026)"
CHN,2017,220129.31992222846,"SIPRI Milex Database 1949-2025 (v1.2, April 2026)"
CHN,2018,233023.66426689958,"SIPRI Milex Database 1949-2025 (v1.2, April 2026)"
CHN,2019,244375.95619855542,"SIPRI Milex Database 1949-2025 (v1.2, April 2026)"
CHN,2020,255894.61892362384,"SIPRI Milex Database 1949-2025 (v1.2, April 2026)"
CHN,2021,262558.6666931823,"SIPRI Milex Database 1949-2025 (v1.2, April 2026)"
CHN,2022,274158.19588427496,"SIPRI Milex Database 1949-2025 (v1.2, April 2026)"
