tier,year,value,measure,agg
China,1989,19905.957179233752,milex_usd_const2024,sum
China,1990,21639.621941251564,milex_usd_const2024,sum
China,1991,23000.93151539146,milex_usd_const2024,sum
China,1992,27972.069658336968,milex_usd_const2024,sum
China,1993,25722.77626231373,milex_usd_const2024,sum
China,1994,24750.39309897849,milex_usd_const2024,sum
China,1995,25707.125679044744,milex_usd_const2024,sum
China,1996,27234.48395272314,milex_usd_const2024,sum
China,1997,29054.19242213676,milex_usd_const2024,sum
China,1998,31723.585544991474,milex_usd_const2024,sum
China,1999,38673.67531103788,milex_usd_const2024,sum
China,2000,41859.94884116564,milex_usd_const2024,sum
China,2001,49634.62903269097,milex_usd_const2024,sum
China,2002,57007.59002936875,milex_usd_const2024,sum
China,2003,61696.002549766774,milex_usd_const2024,sum
China,2004,67956.44918310986,milex_usd_const2024,sum
China,2005,74624.9774233132,milex_usd_const2024,sum
China,2006,85898.20874181419,milex_usd_const2024,sum
China,2007,94424.53546866345,milex_usd_const2024,sum
China,2008,103310.80220400917,milex_usd_const2024,sum
China,2009,125361.39516664106,milex_usd_const2024,sum
China,2010,131535.81978251814,milex_usd_const2024,sum
China,2011,141205.81551114112,milex_usd_const2024,sum
China,2012,155714.05907459068,milex_usd_const2024,sum
China,2013,168374.62501672705,milex_usd_const2024,sum
China,2014,181814.42033438323,milex_usd_const2024,sum
China,2015,196087.55556286048,milex_usd_const2024,sum
China,2016,207375.40998832564,milex_usd_const2024,sum
China,2017,220129.31992222846,milex_usd_const2024,sum
China,2018,233023.66426689958,milex_usd_const2024,sum
China,2019,244375.95619855542,milex_usd_const2024,sum
China,2020,255894.61892362384,milex_usd_const2024,sum
China,2021,262558.6666931823,milex_usd_const2024,sum
China,2022,274158.19588427496,milex_usd_const2024,sum
China,2023,292220.7630572531,milex_usd_const2024,sum
China,2024,311900.3506008155,milex_usd_const2024,sum
China,2025,335017.61733764654,milex_usd_const2024,sum
Hedging middle powers,1951,268.21388551936906,milex_usd_const2024,sum
Hedging middle powers,1952,283.4605882081717,milex_usd_const2024,sum
Hedging middle powers,1953,1888.3511350115589,milex_usd_const2024,sum
Hedging middle powers,1954,227.11566428087886,milex_usd_const2024,sum
Hedging middle powers,1955,234.99077201329013,milex_usd_const2024,sum
Hedging middle powers,1956,3310.281982422925,milex_usd_const2024,sum
Hedging middle powers,1957,6760.494639090858,milex_usd_const2024,sum
Hedging middle powers,1958,6686.966463833345,milex_usd_const2024,sum
Hedging middle powers,1959,5841.89418663487,milex_usd_const2024,sum
Hedging middle powers,1960,5732.287649631286,milex_usd_const2024,sum
Hedging middle powers,1961,6023.861699397803,milex_usd_const2024,sum
Hedging middle powers,1962,7813.518441590673,milex_usd_const2024,sum
Hedging middle powers,1963,11986.869920349433,milex_usd_const2024,sum
Hedging middle powers,1964,12140.447896975238,milex_usd_const2024,sum
Hedging middle powers,1965,13663.73955476743,milex_usd_const2024,sum
Hedging middle powers,1966,14085.814516913699,milex_usd_const2024,sum
Hedging middle powers,1967,13818.44421343329,milex_usd_const2024,sum
Hedging middle powers,1968,14222.374897304117,milex_usd_const2024,sum
Hedging middle powers,1969,15387.691949726164,milex_usd_const2024,sum
Hedging middle powers,1970,17570.799789430454,milex_usd_const2024,sum
Hedging middle powers,1971,20162.81041754139,milex_usd_const2024,sum
Hedging middle powers,1972,23991.515141076456,milex_usd_const2024,sum
Hedging middle powers,1973,25443.47938647532,milex_usd_const2024,sum
Hedging middle powers,1974,19632.497888304846,milex_usd_const2024,sum
Hedging middle powers,1975,22396.72095258344,milex_usd_const2024,sum
Hedging middle powers,1976,25859.275544323125,milex_usd_const2024,sum
Hedging middle powers,1977,47483.49119133668,milex_usd_const2024,sum
Hedging middle powers,1978,50272.55016595329,milex_usd_const2024,sum
