ally,year,pct_gdp,estimate,source
Albania,2014,1.34,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Albania,2015,1.15,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Albania,2016,1.09,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Albania,2017,1.09,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Albania,2018,1.14,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Albania,2019,1.27,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Albania,2020,1.29,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Albania,2021,1.24,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Albania,2022,1.2,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Albania,2023,1.29,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Albania,2024,1.35,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Albania,2025,1.48,True,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Albania,2026,2.15,True,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Belgium,2014,0.97,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Belgium,2015,0.91,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Belgium,2016,0.9,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Belgium,2017,0.89,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Belgium,2018,0.89,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Belgium,2019,0.89,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Belgium,2020,1.01,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Belgium,2021,1.04,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Belgium,2022,1.17,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Belgium,2023,1.16,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Belgium,2024,1.27,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Belgium,2025,2.0,True,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Belgium,2026,2.0,True,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Bulgaria,2014,1.31,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Bulgaria,2015,1.25,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Bulgaria,2016,1.24,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Bulgaria,2017,1.22,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Bulgaria,2018,1.45,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Bulgaria,2019,3.15,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Bulgaria,2020,1.59,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Bulgaria,2021,1.51,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Bulgaria,2022,1.59,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Bulgaria,2023,1.95,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Bulgaria,2024,1.93,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Bulgaria,2025,2.13,True,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Bulgaria,2026,2.22,True,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Canada,2014,1.01,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
