quarter,tsmc_revenue_usd_m,source_file,rev_yoy_pct,capacity_note,source
2024-Q1,18873.0,FS_4.pdf,,"Taiwan foundries including TSMC, UMC, Vanguard and PSMC raising prices amid tight capacity into 2027 (TrendForce public highlight, June 2026)","TSMC consolidated condensed statements of comprehensive income, quarterly; TrendForce 1Q26 report public highlight"
2024-Q2,20822.0,FS_5.pdf,,"Taiwan foundries including TSMC, UMC, Vanguard and PSMC raising prices amid tight capacity into 2027 (TrendForce public highlight, June 2026)","TSMC consolidated condensed statements of comprehensive income, quarterly; TrendForce 1Q26 report public highlight"
2024-Q3,23504.0,FS_6.pdf,,"Taiwan foundries including TSMC, UMC, Vanguard and PSMC raising prices amid tight capacity into 2027 (TrendForce public highlight, June 2026)","TSMC consolidated condensed statements of comprehensive income, quarterly; TrendForce 1Q26 report public highlight"
2024-Q4,26884.0,FS_audited.pdf,,"Taiwan foundries including TSMC, UMC, Vanguard and PSMC raising prices amid tight capacity into 2027 (TrendForce public highlight, June 2026)","TSMC consolidated condensed statements of comprehensive income, quarterly; TrendForce 1Q26 report public highlight"
2025-Q1,25526.0,FS.pdf,35.3,"Taiwan foundries including TSMC, UMC, Vanguard and PSMC raising prices amid tight capacity into 2027 (TrendForce public highlight, June 2026)","TSMC consolidated condensed statements of comprehensive income, quarterly; TrendForce 1Q26 report public highlight"
2025-Q2,30070.0,FS_1.pdf,44.4,"Taiwan foundries including TSMC, UMC, Vanguard and PSMC raising prices amid tight capacity into 2027 (TrendForce public highlight, June 2026)","TSMC consolidated condensed statements of comprehensive income, quarterly; TrendForce 1Q26 report public highlight"
2025-Q3,33097.0,FS_2.pdf,40.8,"Taiwan foundries including TSMC, UMC, Vanguard and PSMC raising prices amid tight capacity into 2027 (TrendForce public highlight, June 2026)","TSMC consolidated condensed statements of comprehensive income, quarterly; TrendForce 1Q26 report public highlight"
2025-Q4,33731.0,FS_3.pdf,25.5,"Taiwan foundries including TSMC, UMC, Vanguard and PSMC raising prices amid tight capacity into 2027 (TrendForce public highlight, June 2026)","TSMC consolidated condensed statements of comprehensive income, quarterly; TrendForce 1Q26 report public highlight"
2026-Q1,35898.0,FS_7.pdf,40.6,"Taiwan foundries including TSMC, UMC, Vanguard and PSMC raising prices amid tight capacity into 2027 (TrendForce public highlight, June 2026)","TSMC consolidated condensed statements of comprehensive income, quarterly; TrendForce 1Q26 report public highlight"
2026-Q2,40201.0,FS_8.pdf,33.7,"Taiwan foundries including TSMC, UMC, Vanguard and PSMC raising prices amid tight capacity into 2027 (TrendForce public highlight, June 2026)","TSMC consolidated condensed statements of comprehensive income, quarterly; TrendForce 1Q26 report public highlight"
