window,supplier,tiv_delivered,share,hhi
1940,United Kingdom,356.0,0.7521656454679907,0.615893531840958
1940,Sweden,105.3,0.2224804563701669,0.615893531840958
1940,United States,12.0,0.025353898161842383,0.615893531840958
1945,Soviet Union,10707.9,0.4171032632363745,0.360106222093947
1945,United Kingdom,10598.58,0.41284493725863836,0.360106222093947
1945,United States,3167.39,0.12337887960685663,0.360106222093947
1945,Sweden,364.0,0.014178838784265851,0.360106222093947
1945,Canada,347.6,0.01354001198189783,0.360106222093947
1950,Soviet Union,42985.21,0.3571011651817224,0.2889986916934047
1950,United States,41397.79,0.3439136169149402,0.2889986916934047
1950,United Kingdom,23691.51,0.19681806430431367,0.2889986916934047
1950,Czechoslovakia,7803.22,0.0648255284589588,0.2889986916934047
1950,France,1408.98,0.011705151602556862,0.2889986916934047
1955,United States,48254.1,0.4804778282056848,0.31176572416244097
1955,Soviet Union,25094.21,0.2498691618191486,0.31176572416244097
1955,United Kingdom,11665.67,0.1161579179005351,0.31176572416244097
1955,France,6398.97,0.06371610305348832,0.31176572416244097
1955,Italy,1377.1599999999999,0.01371271759066568,0.31176572416244097
1960,Soviet Union,52200.69,0.3927306517256447,0.3082410365125729
1960,United States,50369.85,0.3789563704583783,0.3082410365125729
1960,United Kingdom,10210.81,0.07682078658245188,0.3082410365125729
1960,France,7637.79,0.057462731708021714,0.3082410365125729
1960,Czechoslovakia,3070.36,0.023099780555244587,0.3082410365125729
1965,Soviet Union,61338.73,0.41845307098997997,0.283937871796323
1965,United States,45627.59,0.3112716086128894,0.283937871796323
1965,United Kingdom,11386.26,0.07767711304245081,0.283937871796323
1965,France,7276.78,0.04964222340303534,0.283937871796323
1965,Germany,6529.76,0.0445460498583445,0.283937871796323
1970,United States,70259.98,0.3494263631971277,0.24056906989352625
1970,Soviet Union,64296.88,0.3197698738787306,0.24056906989352625
1970,France,15444.45,0.07681041177466717,0.24056906989352625
1970,Czechoslovakia,13016.65,0.06473615094268306,0.24056906989352625
1970,United Kingdom,11607.58,0.05772837488595522,0.24056906989352625
1975,Soviet Union,91724.74,0.39165981909428266,0.2831890107343323
1975,United States,80388.38,0.3432541576905255,0.2831890107343323
1975,France,19943.02,0.08515564727023113,0.2831890107343323
1975,Germany,10232.51,0.043692279917941855,0.2831890107343323
1975,United Kingdom,9287.97,0.039659143759394944,0.2831890107343323
1980,United States,73946.6,0.35217013452327073,0.24226079488749255
1980,Soviet Union,68053.0,0.32410190819743084,0.24226079488749255
1980,France,15636.98,0.07447100137312186,0.24226079488749255
1980,Germany,10890.03,0.051863687175102764,0.24226079488749255
1980,United Kingdom,10283.97,0.04897733091627309,0.24226079488749255
1985,United States,46222.49,0.3341573799366437,0.19726996249285236
1985,Soviet Union,35539.9,0.25692947020401374,0.19726996249285236
1985,United Kingdom,12137.9,0.08774881798736908,0.19726996249285236
1985,Germany,8482.13,0.06132007031819366,0.19726996249285236
1985,France,7841.74,0.056690483194314634,0.19726996249285236
1990,United States,67576.23,0.5139318435728697,0.29313938812013385
1990,Russia,12768.5,0.09710720388900339,0.29313938812013385
1990,France,11698.84,0.08897220825820013,0.29313938812013385
1990,Germany,9033.86,0.06870445901434875,0.29313938812013385
1990,United Kingdom,8399.25,0.06387811271995235,0.29313938812013385
1995,United States,29716.02,0.2876189309189465,0.17078077221924523
1995,Russia,27160.9,0.26288813309441894,0.17078077221924523
1995,France,7583.51,0.07340017400759388,0.17078077221924523
1995,Germany,6561.78,0.06351093277381442,0.17078077221924523
1995,United Kingdom,5445.86,0.052710034221751564,0.17078077221924523
2000,United States,37776.93,0.2958226185498987,0.17853894663688447
2000,Russia,34542.11,0.27049147271730767,0.17853894663688447
2000,Germany,10430.9,0.08168202529512425,0.17853894663688447
2000,France,9235.31,0.07231962966074969,0.17853894663688447
2000,United Kingdom,5009.22,0.039226072031065616,0.17853894663688447
2005,United States,53138.31,0.34892922795475595,0.18941925510848467
2005,Russia,34700.62,0.22785934566137622,0.18941925510848467
2005,Germany,9258.77,0.060797106041021176,0.18941925510848467
2005,France,8850.2,0.05811425792888749,0.18941925510848467
2005,United Kingdom,6562.23,0.04309045296249614,0.18941925510848467
2010,United States,53585.74,0.41799856610179464,0.22256125935565027
2010,Russia,23895.25,0.18639623595090613,0.22256125935565027
2010,China,7791.85,0.06078076233117745,0.22256125935565027
2010,France,7006.89,0.05465763788711332,0.22256125935565027
2010,Germany,6759.23,0.05272575218616433,0.22256125935565027
2015,United States,50099.15,0.40348697588790183,0.2103660729288117
2015,Russia,20109.88,0.1619603260069003,0.2103660729288117
2015,France,12927.95,0.10411872157371932,0.2103660729288117
2015,China,7719.25,0.062169055535327165,0.2103660729288117
2015,Italy,5639.9,0.04542245118550269,0.2103660729288117
2020,United States,15470.15,0.27998193799193183,0.11286269398122722
2020,France,5065.4,0.09167464495847366,0.11286269398122722
2020,South Korea,3873.67,0.07010647173693899,0.11286269398122722
2020,China,3652.9300000000003,0.06611147408065647,0.11286269398122722
2020,Israel,3221.48,0.05830300375899707,0.11286269398122722
2025,United States,208.71,0.22706848718925093,0.1414353182309733
2025,Netherlands,205.2,0.22324974160909533,0.1414353182309733
2025,Pakistan,119.0,0.12946744274601532,0.1414353182309733
2025,Germany,101.2,0.11010172441930044,0.1414353182309733
2025,South Korea,62.38,0.06786705107980198,0.1414353182309733
