month,cny_payments_pct,usd_payments_pct,cny_trade_finance_pct,source_file,source
2024-04,4.52,47.31,4.71,rmbtracker_may2024_final_ast_v3002.pdf,Swift RMB Tracker / Global Currency Tracker (monthly PDFs)
2024-05,4.47,47.89,5.08,rmbtracker_june2024_final_ast_v3002.pdf,Swift RMB Tracker / Global Currency Tracker (monthly PDFs)
2024-06,4.61,47.08,5.99,rmbtracker_july2024.pdf,Swift RMB Tracker / Global Currency Tracker (monthly PDFs)
2024-07,4.74,47.81,6.0,rmbtracker_august2024.pdf,Swift RMB Tracker / Global Currency Tracker (monthly PDFs)
2024-08,4.69,49.07,5.95,rmbtracker_september2024.pdf,Swift RMB Tracker / Global Currency Tracker (monthly PDFs)
2024-09,3.61,47.01,5.66,rmbtracker_october2024_v2.pdf,Swift RMB Tracker / Global Currency Tracker (monthly PDFs)
2024-10,2.93,47.04,5.77,rmbtracker_november2024.pdf,Swift RMB Tracker / Global Currency Tracker (monthly PDFs)
2024-11,3.89,47.68,6.41,rmbtracker_december2024.pdf,Swift RMB Tracker / Global Currency Tracker (monthly PDFs)
2024-12,3.75,49.12,5.98,rmbtracker_january2025.pdf,Swift RMB Tracker / Global Currency Tracker (monthly PDFs)
2025-01,3.79,50.17,6.14,rmbtracker_february2025.pdf,Swift RMB Tracker / Global Currency Tracker (monthly PDFs)
2025-02,4.33,48.95,6.34,rmbtracker_march2025.pdf,Swift RMB Tracker / Global Currency Tracker (monthly PDFs)
2025-03,4.13,49.08,7.38,rmbtracker_april20251.pdf,Swift RMB Tracker / Global Currency Tracker (monthly PDFs)
2025-04,3.5,49.68,6.15,rmbtracker_may2025.pdf,Swift RMB Tracker / Global Currency Tracker (monthly PDFs)
2025-05,2.89,48.46,5.84,rmbtracker_june2025.pdf,Swift RMB Tracker / Global Currency Tracker (monthly PDFs)
2025-06,2.88,47.19,5.94,rmbtracker_july2025.pdf,Swift RMB Tracker / Global Currency Tracker (monthly PDFs)
2025-07,2.88,47.94,7.02,rmbtracker_august2025.pdf,Swift RMB Tracker / Global Currency Tracker (monthly PDFs)
2025-08,2.93,46.94,7.59,rmbtracker_september2025.pdf,Swift RMB Tracker / Global Currency Tracker (monthly PDFs)
2025-09,3.17,47.79,7.28,rmbtracker_october2025v2.pdf,Swift RMB Tracker / Global Currency Tracker (monthly PDFs)
2025-10,2.47,46.71,8.48,rmbtracker_november2025.pdf,Swift RMB Tracker / Global Currency Tracker (monthly PDFs)
2025-11,2.94,46.77,8.36,rmbtracker_december2025.pdf,Swift RMB Tracker / Global Currency Tracker (monthly PDFs)
2025-12,2.73,50.49,8.3,rmbtracker_january2026.pdf,Swift RMB Tracker / Global Currency Tracker (monthly PDFs)
2026-01,3.13,49.68,8.46,rmbtracker_february2026.pdf,Swift RMB Tracker / Global Currency Tracker (monthly PDFs)
2026-02,2.74,49.25,5.9,globalcurrencytracker_march2026_final_v3.pdf,Swift RMB Tracker / Global Currency Tracker (monthly PDFs)
2026-03,3.1,51.14,8.04,globalcurrencytrackerapril2026.pdf,Swift RMB Tracker / Global Currency Tracker (monthly PDFs)
2026-04,2.85,50.61,5.99,globalcurrencytracker_may2026_final_v3.pdf,Swift RMB Tracker / Global Currency Tracker (monthly PDFs)
2026-05,2.75,50.73,7.0,globalcurrencytracker_june2026_final_v3.pdf,Swift RMB Tracker / Global Currency Tracker (monthly PDFs)
2026-06,3.1,50.1,8.0,globalcurrencytracker_july2026.pdf,Swift RMB Tracker / Global Currency Tracker (monthly PDFs)
