pathway,block,year,p05,p10,p25,p50,p75,p90,p95
accretion,Indo-Pacific allies,2026,173465.9,175743.5,177136.5,178857.2,182293.5,184825.9,185464.9
accretion,NATO Europe,2026,537033.7,541662.9,550052.1,563722.5,574076.1,584531.0,623449.1
accretion,Hedging middle powers,2026,232233.7,236095.4,244625.8,257706.5,264997.6,269177.8,272871.7
accretion,United States,2026,844350.0,859730.2,893092.9,922779.0,965655.2,1018913.6,1074387.0
accretion,China,2026,314268.6,339884.8,345929.4,351132.2,358539.1,384252.0,392732.2
accretion,Rest of world,2026,341167.0,348270.7,377669.6,392269.8,402773.3,429386.2,440598.3
accretion,Indo-Pacific allies,2027,174753.5,176759.3,179698.6,183623.5,187399.6,190961.1,193070.8
accretion,NATO Europe,2027,525808.2,534758.7,551361.8,570705.3,593819.9,626823.2,646497.4
accretion,Hedging middle powers,2027,226781.8,234625.7,247444.9,263003.4,277193.9,290243.8,310416.0
accretion,United States,2027,798799.1,827591.3,869242.3,922846.8,983642.0,1062020.6,1178177.2
accretion,China,2027,322024.7,344822.7,359426.6,369505.2,388671.8,409138.8,418063.0
accretion,Rest of world,2027,352853.8,362864.8,388510.9,413404.4,437630.3,465696.6,479168.6
accretion,Indo-Pacific allies,2028,176277.3,178674.2,182818.3,187648.0,192488.3,196962.0,200186.9
accretion,NATO Europe,2028,518851.0,532029.3,553898.9,580216.7,613353.8,651639.1,677506.3
accretion,Hedging middle powers,2028,224066.3,233647.6,250387.5,269433.8,288882.1,310291.0,331713.7
accretion,United States,2028,771117.7,802234.0,856392.2,923906.9,1003792.5,1122596.6,1284035.0
accretion,China,2028,332121.7,349923.8,374134.4,389847.5,416471.1,437267.2,453855.9
accretion,Rest of world,2028,357260.0,375468.6,402248.2,436468.0,469236.5,502335.0,522047.1
accretion,Indo-Pacific allies,2029,178363.5,181079.7,186095.8,191751.4,197549.7,203204.1,206708.8
accretion,NATO Europe,2029,515161.8,531337.4,557045.4,590877.6,631156.6,676792.0,712303.2
accretion,Hedging middle powers,2029,223279.7,234451.2,253473.5,276505.2,300976.7,328348.2,350996.4
accretion,United States,2029,747085.9,782590.1,845319.9,924147.2,1024774.0,1189772.3,1439983.7
accretion,China,2029,344011.7,360730.1,389716.1,411995.9,442744.1,471946.2,491741.3
accretion,Rest of world,2029,365737.6,385654.0,418510.6,460854.2,502556.1,542831.1,568125.1
accretion,Indo-Pacific allies,2030,180478.4,183789.5,189447.3,196055.2,202781.8,209197.8,213312.8
accretion,NATO Europe,2030,512365.2,530839.4,562206.2,601266.4,648992.9,704669.6,745573.0
accretion,Hedging middle powers,2030,222732.2,234835.0,257557.9,283385.2,312479.9,344781.3,368517.0
accretion,United States,2030,727344.7,765138.5,834264.3,926281.3,1043245.8,1252064.5,1510449.2
accretion,China,2030,356903.4,375297.6,406484.0,435527.9,470203.4,505321.0,527903.1
accretion,Rest of world,2030,375164.1,397475.0,438288.6,484909.2,535945.4,583015.4,614105.6
accretion,Indo-Pacific allies,2031,182874.6,186418.1,192724.7,200130.0,207864.2,215603.5,220245.1
accretion,NATO Europe,2031,510860.8,530961.3,566409.3,612024.0,667175.2,729001.8,773004.2
accretion,Hedging middle powers,2031,223635.6,236244.4,261067.8,290190.6,324346.9,361355.3,389864.6
accretion,United States,2031,705343.3,748396.0,823956.6,929335.0,1065594.7,1317678.5,1551706.9
accretion,China,2031,369643.2,390974.8,424562.1,459950.5,499121.9,540794.8,567263.2
accretion,Rest of world,2031,388580.0,411706.6,458274.7,511412.8,570877.1,626481.2,663443.7
accretion,Indo-Pacific allies,2032,185147.2,189333.5,196441.5,204511.6,213281.8,221790.4,227480.3
accretion,NATO Europe,2032,507244.5,531333.9,572075.1,623102.7,683287.4,750435.5,800062.3
accretion,Hedging middle powers,2032,223189.9,238046.0,265077.2,297974.1,336723.8,378217.4,410584.7
accretion,United States,2032,690072.1,735205.7,816611.8,931905.5,1085966.7,1365648.2,1581993.4
accretion,China,2032,384452.0,405171.8,443277.3,485502.4,529920.6,578194.9,608452.1
accretion,Rest of world,2032,400127.6,426974.2,476901.2,537658.3,606957.9,671779.9,715749.1
accretion,Indo-Pacific allies,2033,187404.7,192277.5,199985.1,209098.2,218914.6,228212.3,234457.5
